Code_ICPE,Libelle_ICPE,Composant
2718,"Transit, regroupement ou tri de déchet dangereux",Déchets dangereux
2730,Traitement de sous-produits d'origine animale,Déchet animal
2731,Dépôt de sous-produits animaux,Déchet animal
2750,Station d'épuration collective d'eaux résiduaires industrielles,Eau usée
2751,Station d'épuration collective de déjections animales,Fumier et lisier
2752,Station d'épuration mixte,Eau usée
2790,Traitement de déchets dangereux,Déchets dangereux
2794,Broyage de déchets verts,Déchet vert ligneux
2794,Broyage de déchets verts,Déchet vert non ligneux
2940,"Application, cuisson, séchage de vernis, peinture, apprêt, colle, enduit, etc.","Peinture, vernis, colle"
2960,Captage de CO2,Dioxyde de carbone
2970,Stockage géologique de CO2,Dioxyde de carbone
2971,Installation de production de chaleur ou d'électricité à partir de combustibles solides de récupération,Combustible solide de récupération
3120,Raffinage de pétrole et de gaz,Pétrole brut
3130,Production de coke,Coke
3130,Production de coke,Coke de pétrole
3140,Gazéification ou liquéfaction de charbon ou autres combustibles,Charbon
3220,Production de fonte ou d'acier,Fonte
3220,Production de fonte ou d'acier,Acier
3220,Production de fonte ou d'acier,Acier inoxydable
3230,Transformation des métaux ferreux,Fonte
3230,Transformation des métaux ferreux,Acier
3230,Transformation des métaux ferreux,Acier inoxydable
3230,Transformation des métaux ferreux,Ferronickel
3230,Transformation des métaux ferreux,Ferrosilicium
3240,Exploitation de fonderies de métaux ferreux,Fonte
3240,Exploitation de fonderies de métaux ferreux,Acier
3240,Exploitation de fonderies de métaux ferreux,Acier inoxydable
3240,Exploitation de fonderies de métaux ferreux,Ferronickel
3240,Exploitation de fonderies de métaux ferreux,Ferrosilicium
3250,Transformation de métaux non ferreux,Aluminium
3250,Transformation de métaux non ferreux,Cuivre
3250,Transformation de métaux non ferreux,Bronze
3250,Transformation de métaux non ferreux,Laiton
3250,Transformation de métaux non ferreux,Zinc
3250,Transformation de métaux non ferreux,Etain
3250,Transformation de métaux non ferreux,Plomb
3250,Transformation de métaux non ferreux,Argent
3250,Transformation de métaux non ferreux,Nickel
3250,Transformation de métaux non ferreux,Titane
3250,Transformation de métaux non ferreux,Manganèse
3250,Transformation de métaux non ferreux,Chrome
3250,Transformation de métaux non ferreux,Cadmium
3250,Transformation de métaux non ferreux,Antimoine
3250,Transformation de métaux non ferreux,Cobalt
3250,Transformation de métaux non ferreux,Mercure
3250,Transformation de métaux non ferreux,Vanadium
3250,Transformation de métaux non ferreux,Béryllium
3250,Transformation de métaux non ferreux,Sélénium
3250,Transformation de métaux non ferreux,Tellure
3250,Transformation de métaux non ferreux,Thallium
3310,"Production de ciment, chaux ou oxyde de magnésium",Ciment
3310,"Production de ciment, chaux ou oxyde de magnésium",Chaux
3310,"Production de ciment, chaux ou oxyde de magnésium",Oxyde de magnésium
3330,Fabrication du verre,Verre
3350,Fabrication de céramiques,Céramique
3510,Traitement de déchets dangereux,Déchets dangereux
3610,"Fabrication de pâte à papier, papier, carton, panneaux de bois",Papier
3610,"Fabrication de pâte à papier, papier, carton, panneaux de bois",Carton
3610,"Fabrication de pâte à papier, papier, carton, panneaux de bois",Bois et sous-produits du bois
3610,"Fabrication de pâte à papier, papier, carton, panneaux de bois",Bois en fin de vie propre (palette)
3620,Prétraitement ou teinture de textiles,Textile
3680,Fabrication de carbone,Carbone
3680,Fabrication de carbone,Noir de carbone
3690,Captage des flux de CO2,Dioxyde de carbone
3700,Préservation du bois,Bois et sous-produits du bois
3700,Préservation du bois,Bois traité et/ou dangereux
3710,Traitement des eaux résiduaires,Eau usée
4705,Nitrate de potassium et engrais composés (sous forme de comprimés ou de granulés),Nitrate de potassium
4706,Nitrate de potassium et engrais composés (sous forme de cristaux),Nitrate de potassium
4710,Chlore,Chlore
4711,Composés de nickel,Chlorure de nickel
4711,Composés de nickel,Oxyde de nickel
4711,Composés de nickel,Sulfate de nickel
4711,Composés de nickel,Fluoborate de nickel
4714,Formaldéhyde,Formaldéhyde
4715,Hydrogène,Hydrogène
4716,Chlorure d'hydrogène,Chlorure d'hydrogène
4718,Gaz inflammables liquéfiés de catégorie 1 et 2,Gaz de pétrole liquéfié
4718,Gaz inflammables liquéfiés de catégorie 1 et 2,Propane
4719,Acétylène,Acétylène
4722,Méthanol,Méthanol
4725,Oxygène,Oxygène
4734,Produits pétroliers spécifiques et carburants de substitution,Essence
4734,Produits pétroliers spécifiques et carburants de substitution,Gazole
4734,Produits pétroliers spécifiques et carburants de substitution,Fioul
4734,Produits pétroliers spécifiques et carburants de substitution,Pétrole brut
4734,Produits pétroliers spécifiques et carburants de substitution,Gaz de pétrole liquéfié
4734,Produits pétroliers spécifiques et carburants de substitution,Naphta
4734,Produits pétroliers spécifiques et carburants de substitution,Ether de pétrole
4734,Produits pétroliers spécifiques et carburants de substitution,e-diesel
4734,Produits pétroliers spécifiques et carburants de substitution,e-kérosène
4735,Ammoniac,Ammoniac
4737,Sulfure d'hydrogène,Sulfure d'hydrogène
4741,Les mélanges d'hypochlorite de sodium,Hypochlorite de sodium
4801,"Houille, coke,...",Charbon
4801,"Houille, coke,...",Coke
4801,"Houille, coke,...",Coke de pétrole
