Code_ICPE,Libelle_ICPE,Raison
2783,Déconditionnement de biodéchets,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2791,Traitement de déchets non dangereux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2793,Traitement de déchets d'explosifs,Classe/activité explosifs — aucun explosif dans la liste des composants
2795,"Lavage de fûts, conteneurs et citernes de transport de matières alimentaires, de matières dangereuses ou de déchets dangereux",Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2797,Gestion des déchets radioactifs,Substances/déchets radioactifs — aucun composant radioactif dans la liste
2798,Installation temporaire de transit de déchets radioactifs,Substances/déchets radioactifs — aucun composant radioactif dans la liste
2910,Installation de combustion,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2915,Procédés de chauffage,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2921,Refroidissement évaporatif par dispersion d'eau dans un flux d'air,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2925,Charge d'accumulateurs,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2930,Ateliers de réparation et d'entretien de véhicules et engins à moteurs,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2931,"Ateliers d'essais sur banc de moteurs à combustion interne ou à réaction, turbines",Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2950,Traitement et développement des surfaces photosensibles,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
2980,Installation terrestre de production d'électricité à partir de l'énergie mécanique du vent,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3110,Combustion,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3210,Grillage ou frittage de minerai métallique,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3260,Traitement de surface,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3340,Fusion de matières minérales,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3410,Fabrication de produits chimiques organiques,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3420,Fabrication de produits chimiques inorganiques,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3430,Fabrication d'engrais,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3440,Fabrication de produits phytosanitaires ou biocides,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3450,Fabrication de produits pharmaceutiques,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3460,Fabrication d'explosifs,Classe/activité explosifs — aucun explosif dans la liste des composants
3520,Incinération ou coincinération de déchets,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3531,Élimination de déchets non dangereux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3532,Valorisation de déchets non dangereux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3540,Installation de stockage de déchets,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3550,Stockage temporaire de déchets,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3560,Stockage souterrain de déchets dangereux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3630,Tannage des peaux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3641,Exploitation d'abattoirs,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3642,Traitement et transformation de matières premières en vue de la fabrication de produits alimentaires,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3643,Traitement et transformation du lait,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3650,Élimination ou recyclage de carcasses ou de sous-produits animaux,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3660,Élevage intensif,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
3670,Traitement de surface de matières à l'aide de solvants organiques,Rubrique d'activité — libellé sans substance spécifique rattachable à la liste
4000,Substances et mélanges dangereux (définition et classification des),Classe de danger CLP — dépend de la classification de chaque substance
4001,Installations présentant un grand nombre de substances,Classe de danger CLP — dépend de la classification de chaque substance
4110,Toxicité aiguë catégorie 1,Classe de danger (toxicité aiguë) — dépend de la classification CLP de chaque substance
4120,Toxicité aiguë catégorie 2,Classe de danger (toxicité aiguë) — dépend de la classification CLP de chaque substance
4130,Toxicité aiguë catégorie 3 / inhalation.,Classe de danger (toxicité aiguë) — dépend de la classification CLP de chaque substance
4140,Toxicité aiguë catégorie 3 / orale,Classe de danger (toxicité aiguë) — dépend de la classification CLP de chaque substance
4150,Toxicité spécifique pour certains organes cibles,Classe de danger (toxicité aiguë) — dépend de la classification CLP de chaque substance
4210,Produits explosifs,Classe/activité explosifs — aucun explosif dans la liste des composants
4220,Produits explosifs (stockage de),Classe/activité explosifs — aucun explosif dans la liste des composants
4240,Produits explosibles,Classe/activité explosifs — aucun explosif dans la liste des composants
4310,Gaz inflammables catégorie 1 et 2.,Classe de danger CLP — dépend de la classification de chaque substance
4320,Aérosols extrêmement inflammables ou inflammables [...],Classe de danger CLP — dépend de la classification de chaque substance
4321,Aérosols extrêmement inflammables ou inflammables [...],Classe de danger CLP — dépend de la classification de chaque substance
4330,Liquides inflammables de catégorie 1,Classe de danger CLP — dépend de la classification de chaque substance
4331,Liquides inflammables de catégorie 2 ou catégorie 3,Classe de danger CLP — dépend de la classification de chaque substance
4410,Substances et mélanges autoréactifs type A ou type B,Classe de danger CLP — dépend de la classification de chaque substance
4411,"Substances et mélanges autoréactifs type C, D, E ou F",Classe de danger CLP — dépend de la classification de chaque substance
4420,Peroxydes organiques type A ou type B,Classe de danger CLP — dépend de la classification de chaque substance
4421,Peroxydes organiques type C ou type D,Classe de danger CLP — dépend de la classification de chaque substance
4422,Peroxydes organiques type E ou type F,Classe de danger CLP — dépend de la classification de chaque substance
4430,Solides pyrophoriques catégorie 1.,Classe de danger CLP — dépend de la classification de chaque substance
4431,Liquides pyrophoriques catégorie 1,Classe de danger CLP — dépend de la classification de chaque substance
4440,"Solides comburants catégorie 1, 2 ou 3",Classe de danger CLP — dépend de la classification de chaque substance
4441,"Liquides comburants catégorie 1, 2 ou 3",Classe de danger CLP — dépend de la classification de chaque substance
4442,Gaz comburants catégorie 1,Classe de danger CLP — dépend de la classification de chaque substance
4510,Dangereux pour l'environnement aquatique 1,Classe de danger CLP — dépend de la classification de chaque substance
4511,Dangereux pour l'environnement aquatique 2,Classe de danger CLP — dépend de la classification de chaque substance
4610,Substances ou mélanges auxquels est attribuée la mention de danger EUH014,Classe de danger CLP — dépend de la classification de chaque substance
4620,"Substances et mélanges qui, au contact de l'eau, dégagent des gaz inflammables, catégorie 1",Classe de danger CLP — dépend de la classification de chaque substance
4630,Substances ou mélanges auxquels est attribuée la mention de danger EUH029,Classe de danger CLP — dépend de la classification de chaque substance
4733,Cancérogènes,Libellé non explicitement rattachable à un composant de la liste
4755,Alcools de bouche d'origine agricole,"Alcools de bouche — libellé trop spécifique, seul 'Alcool' (générique) présent dans la liste"
